,smlmitzrach,protein,total_fat,carbohydrates,lable
114,11740440,2.5,3.5,14.60000038,-1
115,11740870,1.399999976,3.700000048,7.400000095,-1
116,11740560,2.799999952,3.599999905,7.5,-1
117,11740580,1.899999976,4.099999905,7.699999809,-1
118,11740700,3.0,4.960000038,11.0,-1
119,11740710,3.0,4.960000038,11.0,-1
120,11740720,3.0,3.839999914,13.60000038,-1
121,11740730,4.0,3.920000076,12.72000027,-1
122,11811000,26.31999969,26.70999908,38.41999817,-1
123,11813010,36.15999985,0.769999981,51.97999954,-1
124,11830100,6.670000076,4.0,80.02999878,-1
125,11830109,4.5,2.5,90.0,-1
126,11830110,15.48999977,3.0,64.43000031,-1
127,11830119,16.0,1.299999952,73.40000153,-1
128,11830128,1.100714326,1.043214202,4.586428642,-1
129,11830150,19.60000038,13.69999981,24.70000076,-1
130,11830160,3.920000076,2.680000067,85.98999786,-1
131,11830180,15.48999977,3.0,71.93000031,-1
132,11830220,20.0,10.0,40.0,-1
133,11830900,31.0,1.0,56.0,-1
134,11831009,22.0,25.0,49.0,-1
135,11831029,7.199999809,8.0,25.0,-1
136,11831039,0.0,0.0,93.0,-1
137,11831049,75.0,4.5,15.0,-1
138,11831059,0.0,0.0,94.0,-1
139,12120119,2.299999952,15.0,4.199999809,-1
140,12130209,1.899999976,38.0,3.0,-1
141,12130218,1.519999981,30.39999962,22.35400009,-1
142,12130219,1.899999976,32.0,3.200000048,-1
143,12210250,0.800000012,3.5,9.100000381,-1
144,12210309,0.400000006,25.0,19.0,-1
145,12210400,4.789999962,35.47999954,54.88000107,-1
146,12210409,0.716039598,31.0,66.0,-1
147,12210509,0.0,20.0,22.0,-1
148,12310219,3.400000095,9.0,4.599999905,-1
149,12310309,2.700000048,15.0,3.299999952,-1
150,12310409,2.299999952,27.0,4.0,-1
151,13110009,3.0,12.133,21.0,-1
152,13110019,4.05,14.1,28.313,-1
153,13110108,4.749753475,30.52962494,15.70932579,-1
154,13110109,3.299999952,9.699999809,27.20000076,-1
155,13110120,3.5,16.20000076,22.29000092,-1
156,13110129,4.0,10.89999962,24.70000076,-1
157,13110130,4.72,16.98,19.85,-1
