code,smlmitzrach,shmmitzrach,ofen_hachana,ofen_hachanat_makor,makor,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_saturated,poly_ saturated,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,mishtamesh_id,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,kvutza_meyuhedet,shem_mitzrach_mekutzar,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose
4765,91745010,סוכריות גומי,,,1,0,0,98.80000305,396,0,1,0.100000001,3,0.400000006,1,1,5,44,0,0.012,,0,0,0,0.006,0.013,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.97,,0,1,,,,,,,,,,,,,,,,0,0.012,,0.8,,0,,0.01,
4766,91745019,"סוכריות גומי, עלית",,,3,5.666666508,0,77.66666412,333.3333435,0,15.66666698,0,1.993999958,0.076200001,0.578000009,1.518000007,4.276000023,20,0.066,0.02,0,0,0,0,0.002,0.01438,0.0042,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4767,91745020,סוכריות קשות,,,1,0,0.200000003,98,394,0,1.299999952,0,3,0.300000012,3,3,5,38,0.01,0.028999999,,0,0,0,0.004,0.003,0.007,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9,,0,1,,,,,,,,,,,,,,,,0,0.008,,0.6,,0,,0.01,
4768,91745039,סוכריות מנטוס MENTOS,,,3,0,2,92,387,0,3.599999905,1.200000048,3.024025679,0.13104111,2.016017199,4.032034397,37.29631424,40,0.050400428,0.028224239,0,0,0,0,0.004032034,0.011088094,0.008064068,0.004032034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,68,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4769,91745040,"סוכריות חמאה קשות, Butterscotch",,,1,0.029999999,3.299999952,90.40000153,391,0,5.25,0,4,0.01,0,1,3,391,0.090000004,0.001,,6,0.090000004,0,0.012,0.016000001,0.002,0,0,0,0,9,2.065000057,0.129999995,0.081,0.048,0.101999998,0.104000002,0.298999995,0.871999979,0.40200001,0.801999986,0.109999999,0.013,0,0,0.039000001,0,0.004,0,0,0,0.845000029,0.122000001,0,80.46,,28,1,,,,,,,,,,,,,,,,0.3,0.004,,0.6,,0.8,,0.001,
4770,91745049,"סוכריות חמאה חומות קשות, WERTHER'S",,,3,0.300000012,8.600000381,86.69999695,425,0,3,0,3.849097967,0.009622744,0,0.962274492,2.886823416,475,0.086604699,0.000962274,272.7272644,16.36363602,0.24545455,0,0.011547294,0.015396391,0.001924549,0,0,0,0,24.54545403,5.631818295,0.354545444,0.220909089,0.130909085,0.278181821,0.283636361,0.815454543,2.378181934,1.096363664,2.187272787,0.300000012,0.035454545,0,0,0.106363639,0,0.010909091,0,0,0,2.304545403,0.332727283,,80.46,,76.36363636,1,,,,,,,,,,,,,,,,,,,,,,,,
4771,91745059,"סוכרייה על מקל,טעם פרי, כרמית",,,2,0,0,99,396,,0,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4772,91745079,"רחת לוקום - חלקום, TURKISH DELIGHT",,,3,0.600000024,0,78.19999695,295,,19.89999962,0.300000012,10,,8,21,53,31,0.200000003,0.129999995,,,,,0.129999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4773,91745089,"סוכריות לקישוט, מזרה חום ארוך",,,3,1.100000024,6.099999905,87.17500305,408,0,2.964999914,1.659999967,7.28000021,0.704550028,24.95000076,36.70000076,77.95999908,4,0.341049999,0.189400002,0,0,0.454899997,0,0.0039,0.02877,0.109250002,0.0059,1.600000024,1.600000024,0,0,1.100000024,0,0,0,0,0,0.001,0.759525001,0.456425011,1.46875,2.824359894,0.373394996,0,0,0,0,0.012815,0,0,0,1.481564999,3.197700024,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4774,91745099,"סוכריות לקישוט, מזרה צבעוני",,,3,0,0.980000019,98,397,,0.02,,3.01522851,0.301522851,3.01522851,3.01522851,5.025380611,4,0.010050762,0.029147208,0,0,0,0,0.004020304,0.003015228,0.007035533,0.003015228,0,0,0,0,0.119999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4776,91746100,סוכריות M&M's שוקולד,,,1,4.329999924,21.12999916,68.38999939,492,0,1.700000048,2.799999952,105,1.110000014,44,146,261,61,1.610000014,0.344000012,,0,0.360000014,0.5,0.079000004,0.213,0.270000011,0.025,8,6,0.529999971,14,13.07999992,0.462000012,0.166999996,0.094999999,0.180999994,0.199000001,0.609000027,5.465000153,5.605000019,4.936999798,0.864000022,0.057,0,0,0.147,0,0,0,0,0,5.183000088,0.921000004,0,63.68,,56,1,,,,,,,,,,,,,,,,4,0.33,,3.3,,21.7,,0.329,
4777,91746109,"סוכריות במילוי שוקולד,כפתורי שוקולד, עדשים, עלית",,,3,4,19,72,475,0,3.57559967,1.972000003,110.529747,1.392407775,36.76970291,120.92099,217.403244,56,1.343457699,0.289679289,,0,0.2958,0,0.065277137,0.180201754,0.224498883,0.021061748,6.960000038,8.708046913,0.435000002,19,11.80000019,0.207640007,0.05742,0.064379998,0.142680004,0.147320002,0.686720014,4.832560062,4.544879913,3.524080038,0.706440032,0.070760004,0,0,0.236060008,0,0,0,0,0,4.167880058,0.798080027,0,71,0,34.22000122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.305999994,0.273759991,0,2.832540035,0,26.73800087,0,0.275059998,0
4778,91760000,סוכריות טופי פשוטות,,,1,4.670000076,8.220000267,78.16999817,388,0,7.110000134,0,140,0.140000001,17,116,217,249,0.449999988,0.017999999,,2,0.469999999,0.400000006,0.104999997,0.25999999,0.150000006,0.057,4,4,0.300000012,7,2.513999939,0.048,0.012,0.013,0.026000001,0.016000001,0.193000004,1.909000039,0.296999991,1.468999982,3.499000072,0.025,0.007,0,0.096000001,0,0,0,0,0,1.565000057,3.477999926,0,66.5,,12,1,0.258,0.417,0.285,0.338,0.192,0.107,0.205,0.06,0.115,0.205,0.155,0.039,0.232,,,1.8,0.62,,1.8,,8,,0.011,
